,title,company,location,job_desc,date_posted,date_scrapped,salary,job_url
0,Data Scientist,Bayer,"Woodland, CA+12 locations",Contribute to key interdisciplinary data science projects to create novel scientific and business insights by deploying the analytics model framework on a…,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
1,"ML Data Linguist , Search Science and AI",Bayer,"Woodland, CA+12 locations",Handle data annotation and data analysis requests from multiple stakeholders with high efficiency and quality in a fast paced environment.,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
2,"Data Analyst, Quality Data Science",Bayer,"Woodland, CA+12 locations",Develop queries using SQL to aggregate and process data across multiple data sources.3+ years working experience as a data analyst or business data analyst.,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
3,Data Mentor (Part-time),Bayer,"Woodland, CA+12 locations",Helping fellows optimize everything from their resumes to data science projects.3+ years of experience in the technology industry or in a related field as a…,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
4,Data Science & Analytics,Bayer,"Woodland, CA+12 locations","As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
5,Data Science Associate (Remote),Bayer,"Woodland, CA+12 locations","Bachelor/Master Degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
6,Seasonal Assistant - Data Analyst,Bayer,"Woodland, CA+12 locations","Create new automation solutions for business data needs.The position will assist data-driven initiatives which primarily support Ticketing, Corporate…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
7,Data Science/ML Analyst - IPSA 9,Bayer,"Woodland, CA+12 locations","Knowledge of data science, skills to develop data management tools, organize and maintain databases and operate data visualization technologies.",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
8,Computer / Data Science Engineer (Remote) – International Pu...,Bayer,"Woodland, CA+12 locations",Development of custom data models and algorithm on large data sets.Manage astronomy data from multiple observatories.Data model validation and optimizing.,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
9,"Assistant Director, Data Science",Bayer,"Woodland, CA+12 locations","This role requires creative problem solving and the application of data science techniques to challenging problems, particularly focused on isolating causal…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
10,"CO-OP, DATA SCIENCE",Bayer,"Woodland, CA+12 locations","Leveraging internal and external data to identify signal and generate recommendations.Using data analysis to solve problems, identify trends, and predict…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
11,Manager - Data Science,Bayer,"Woodland, CA+12 locations",The Data Science team within FedEx Ground’s Financial Planning & Analysis department focuses on the following data science and machine learning applications:,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
12,Junior Data Scientist - Rockefeller Neuroscience Institute,Bayer,"Woodland, CA+12 locations",Support the development of custom data models and algorithm on large data sets.This position will assist the data science team to carry out research and…,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
13,Part-Time Student-Data Analytics-Remote,Bayer,"Woodland, CA+12 locations","Identify business improvement projects through data analytics of key data streams like warranty, field & lab test, vehicle telematics, manufacturing data and…",Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
14,Research Engineer – Data Science,Bayer,"Woodland, CA+12 locations",Scientifically analyze data provided from tests and experiments to gather knowledge and understanding of the subject of research.,Posted11 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=ab120e3939f53d6f&fccid=e08122e0e993cc32&vjs=3
15,"ML Data Linguist , Search Science and AI",Amazon.com Services LLC,+126 locationsRemote,Handle data annotation and data analysis requests from multiple stakeholders with high efficiency and quality in a fast paced environment.,Posted27 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=1bab5b8c7f586114&fccid=fe2d21eef233e94a&vjs=3
16,Data Scientist,Amazon.com Services LLC,+126 locationsRemote,Contribute to key interdisciplinary data science projects to create novel scientific and business insights by deploying the analytics model framework on a…,Posted27 days ago,2022-05-23,$30 - $60 an hour,https://www.indeed.com/rc/clk?jk=1bab5b8c7f586114&fccid=fe2d21eef233e94a&vjs=3
