title,company,location,job_desc,date_posted,date_scrapped,salary,website,word_desc
AWS Data Science Architect (QlikView & QlikSense) (Contract) - Midrand/Menlyn/Rosslyn/Home Office rotation - ISB3902031,iSanqa Resourcing,"Midrand, Johannesburg",AWS Data Science Architect (QlikView & QlikSense) (Contract) - Midrand/Menlyn/Rosslyn/Home Office rotation - ISB3902031   About the job AWS Data Science Architect (QlikView & QlikS…,Not specified,2022-05-08,,careerjet,aws data architect qlikview qliksense contract midrand menlyn rosslyn home office rotation isb3902031 job aws data architect qlikview qliks…
Business Intelligence Developer (with Cloud and Data Science experience) - Semi Remote - R780 per hour 1497 600,e-Merge IT Recruitment,"Johannesburg, Gauteng",An awesome opportunity is available for a Business Intelligence Developer to work for a German multinational corporate company that manufacturers luxury vehicles and motorcycles.  …,2 days ago,2022-05-08,,careerjet,awesome opportunity available business intelligence developer work german multinational corporate company manufacturer luxury vehicle motorcycle …
Data science manager,Communicate Recruitment,"Johannesburg, Gauteng",*Reference: CPM008305-THa-2*   Our client in financial services is seeking a Data Science Manager to join their fast paces and ever growing team!  *Qualifications*    BSc/ BSc hono…,3 days ago,2022-05-08,620000.0,careerjet,reference cpm008305 tha 2 client financial service seek data manager join fast pace ever grow team qualification bsc bsc hono…
Data science manager,Communicate Recruitment,"Johannesburg, Gauteng",*Reference: CPM008305-RMo-1*   Our client in financial services is seeking a Data Science Manager to join their fast paces and ever growing team!  *Qualifications*    BSc/ BSc hono…,3 days ago,2022-05-08,620000.0,careerjet,reference cpm008305 rmo 1 client financial service seek data manager join fast pace ever grow team qualification bsc bsc hono…
Business Intelligence Developer (with Cloud and Data Science experience) – Semi Remote – R780 per hour,e-Merge IT Recruitment,"Johannesburg, Gauteng",An awesome opportunity is available for a Business Intelligence Developer to work for a German multinational corporate company that manufacturers luxury vehicles and motorcycles.  …,3 days ago,2022-05-08,,careerjet,awesome opportunity available business intelligence developer work german multinational corporate company manufacturer luxury vehicle motorcycle …
Data science lead,AGA Recruitment Specialists,"Cape Town, Western Cape","*Reference: CPT000158-AG-1*   Our Client , a leader in the gaming industry is seeking a Data Science Lead , To lead the data scientists and analysts to infinity and beyond. Join a …",3 days ago,2022-05-08,,careerjet,reference cpt000158 ag 1 client leader gaming industry seek data lead lead data scientist analyst infinity beyond join …
Data science manager,Mass Staffing Projects (Pty) Ltd,Gauteng,I am representing a reputable insurance giant who is looking for Data Science Manager to lead their team. The ideal candidate has experience in machine learning and has a math’s re…,3 days ago,2022-05-08,800000.0,careerjet,represent reputable insurance giant look data manager lead team ideal candidate experience machine learning math ’ re…
"Data science lead, analytics lead",Robert Walters,Gauteng,"*Data Science and Analytics Audit Lead*  Suitable candidate will be creating and delivering data-driven solutions that add business value through the use of statistical models, mac…",3 days ago,2022-05-08,,careerjet,data analytics audit lead suitable candidate create deliver data drive solution add business value use statistical model mac…
Professor/Associate Professor (Science: Academy of Computer Science and Software Engineering),University of Johannesburg,South Africa,Position Summary   Industry: Education & Training  Job category: Education and Training  Campus: Auckland Park Kingsway Campus  Contract: Permanent  Remuneration: Market Related  E…,Not specified,2022-05-08,,careerjet,position summary industry education train job category education training campus auckland park kingsway campus contract permanent remuneration market relate e…
Lecturer (Faculty of Science: Academy of Computer Science and Software Engineering),University of Johannesburg,South Africa,Position Summary   Industry: Education & Training  Job category: Education and Training  Campus: Auckland Park Kingsway Campus  Contract: Permanent  Remuneration: Market Related  E…,Not specified,2022-05-08,,careerjet,position summary industry education train job category education training campus auckland park kingsway campus contract permanent remuneration market relate e…
